2025-11-02 14:19:16 | demo_logger | DEBUG | <module>:23 | This is a DEBUG message (shows in file only by default)
2025-11-02 14:19:16 | demo_logger | INFO | <module>:24 | This is an INFO message ✅
2025-11-02 14:19:16 | demo_logger | WARNING | <module>:25 | This is a WARNING message ⚠️
2025-11-02 14:19:16 | demo_logger | ERROR | <module>:26 | This is an ERROR message ❌
2025-11-02 14:19:31 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:19:34 | inference | INFO | predict_sentiment:346 | Sentiment prediction: positive (94.38%) using XLM-RoBERTa
2025-11-02 14:19:37 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.07%)
2025-11-02 14:19:37 | inference | ERROR | wrapper:149 | Failed predict_sentiment after 0.00ms: In predict_sentiment: 'text' cannot be empty
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: hi (confidence=0.95, method=script_analysis)
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: ta (confidence=0.95, method=script_analysis)
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: bn (confidence=0.95, method=script_analysis)
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=0.40, method=latin_fallback_short_text)
2025-11-02 14:22:38 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:22:38 | preprocessing | ERROR | wrapper:149 | Failed preprocess_text after 0.00ms: got an unexpected keyword argument 'emoji_mode'
2025-11-02 14:22:38 | preprocessing | ERROR | wrapper:149 | Failed preprocess_text after 0.00ms: In preprocess_text: 'text' cannot be empty
2025-11-02 14:22:42 | inference | INFO | predict_sentiment:346 | Sentiment prediction: positive (93.67%) using XLM-RoBERTa
2025-11-02 14:22:42 | inference | INFO | predict_sentiment:346 | Sentiment prediction: negative (96.33%) using XLM-RoBERTa
2025-11-02 14:22:42 | inference | INFO | predict_sentiment:287 | Using IndicBERT model for language: en
2025-11-02 14:22:45 | inference | INFO | predict_sentiment:315 | Sentiment prediction: neutral (99.55%) using IndicBERT
2025-11-02 14:22:48 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.05%)
2025-11-02 14:22:48 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.07%)
2025-11-02 14:22:49 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (98.27%)
2025-11-02 14:22:49 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:22:49 | inference | INFO | predict_sentiment:346 | Sentiment prediction: positive (90.50%) using XLM-RoBERTa
2025-11-02 14:22:49 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.05%)
2025-11-02 14:22:49 | preprocessing | INFO | detect_language:460 | Language detected: hi (confidence=0.95, method=script_analysis)
2025-11-02 14:22:49 | inference | INFO | predict_sentiment:287 | Using IndicBERT model for language: hi
2025-11-02 14:22:49 | inference | INFO | predict_sentiment:315 | Sentiment prediction: neutral (99.62%) using IndicBERT
2025-11-02 14:22:49 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.05%)
2025-11-02 14:22:49 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:22:49 | inference | INFO | predict_sentiment:346 | Sentiment prediction: neutral (45.65%) using XLM-RoBERTa
2025-11-02 14:22:50 | inference | INFO | predict_toxicity:392 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 14:22:50 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=0.40, method=latin_fallback_short_text)
2025-11-02 14:22:50 | preprocessing | ERROR | wrapper:149 | Failed preprocess_text after 0.00ms: In preprocess_text: 'text' cannot be empty
2025-11-02 14:22:50 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:32:37 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:32:37 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=expand, temporal=preserve, technical=preserve)
2025-11-02 14:32:37 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:32:37 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=preserve, temporal=preserve, technical=preserve)
2025-11-02 14:33:05 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:33:05 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=expand, temporal=preserve, technical=preserve)
2025-11-02 14:33:05 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:33:05 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=preserve, temporal=preserve, technical=preserve)
2025-11-02 14:35:09 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:35:09 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=expand, temporal=preserve, technical=preserve)
2025-11-02 14:35:09 | domain_processors | INFO | process_domain_text:570 | Processing domain-specific text
2025-11-02 14:35:09 | domain_processors | INFO | process_domain_text:587 | Domain processing complete (financial=preserve, temporal=preserve, technical=preserve)
2025-11-02 14:50:31 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 14:50:31 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 14:50:47 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 14:50:47 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 14:51:19 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:51:54 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 14:51:54 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 14:52:37 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 14:52:37 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 14:52:43 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid_short_text)
