2025-11-05 11:57:35 | inference | INFO | <module>:22 | Device: CPU
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 157 words for hindi from hindi.json
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 137 words for marathi from marathi.json
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 103 words for bengali from bengali.json
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 203 words for tamil from tamil.json
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 101 words for telugu from telugu.json
2025-11-05 11:57:36 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 96 words for punjabi from punjabi.json
2025-11-05 11:57:36 | translation | INFO | <module>:97 | 📚 Loaded 6 romanized dictionaries
2025-11-05 11:57:36 | adaptive_learning | INFO | _load_data:364 | Loaded 37 cached patterns
2025-11-05 11:57:36 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-05 11:57:36 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-05 11:57:36 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-05 11:57:36 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-05 11:57:36 | redis_cache | INFO | <module>:23 | Using Upstash REST API client
2025-11-05 11:57:36 | redis_cache | INFO | _initialize_connection:57 | 🌐 Connecting to Upstash Redis via REST API...
2025-11-05 11:57:37 | redis_cache | INFO | _initialize_connection:95 | ✅ Upstash Redis connected successfully via REST API!
2025-11-05 11:57:37 | __main__ | INFO | <module>:1933 | Starting server on 0.0.0.0:8000
2025-11-05 11:57:37 | __main__ | INFO | <module>:1934 | Workers: 4
2025-11-05 11:57:37 | __main__ | INFO | <module>:1935 | Environment: development
2025-11-05 11:57:48 | inference | INFO | <module>:22 | Device: CPU
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 157 words for hindi from hindi.json
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 137 words for marathi from marathi.json
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 103 words for bengali from bengali.json
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 203 words for tamil from tamil.json
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 101 words for telugu from telugu.json
2025-11-05 11:57:49 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 96 words for punjabi from punjabi.json
2025-11-05 11:57:49 | translation | INFO | <module>:97 | 📚 Loaded 6 romanized dictionaries
2025-11-05 11:57:49 | adaptive_learning | INFO | _load_data:364 | Loaded 37 cached patterns
2025-11-05 11:57:49 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-05 11:57:49 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-05 11:57:49 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-05 11:57:49 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-05 11:57:49 | redis_cache | INFO | <module>:23 | Using Upstash REST API client
2025-11-05 11:57:49 | redis_cache | INFO | _initialize_connection:57 | 🌐 Connecting to Upstash Redis via REST API...
2025-11-05 11:57:50 | redis_cache | INFO | _initialize_connection:95 | ✅ Upstash Redis connected successfully via REST API!
2025-11-05 11:57:50 | api | INFO | startup_event:1870 | ================================================================================
2025-11-05 11:57:50 | api | INFO | startup_event:1871 | Multilingual NLP Analysis API Starting...
2025-11-05 11:57:50 | api | INFO | startup_event:1872 | Version: 1.1.0 - Async Inference + Batch Processing
2025-11-05 11:57:50 | api | INFO | startup_event:1873 | Environment: development
2025-11-05 11:57:50 | api | INFO | startup_event:1874 | Debug Mode: False
2025-11-05 11:57:50 | api | INFO | startup_event:1875 | Allowed Origins: ['http://localhost:3000', 'http://localhost:8080', 'http://127.0.0.1:3000']
2025-11-05 11:57:50 | api | INFO | startup_event:1876 | Rate Limit: 60/min, 1000/hr
2025-11-05 11:57:50 | api | INFO | startup_event:1877 | Features: Profanity Filter, Domain Detection, Language Analysis,
2025-11-05 11:57:50 | api | INFO | startup_event:1878 |           Sentiment Analysis, Toxicity Detection, Translation
2025-11-05 11:57:50 | api | INFO | startup_event:1879 | Redis Caching: ENABLED
2025-11-05 11:57:50 | api | INFO | startup_event:1880 | ================================================================================
2025-11-05 11:57:50 | api | INFO | startup_event:1884 | ✓ Thread pool executor created (4 workers for async inference)
2025-11-05 11:57:50 | api | INFO | startup_event:1885 | ================================================================================
2025-11-05 11:57:50 | api | INFO | startup_event:1890 | Redis Status: HEALTHY
2025-11-05 11:57:50 | api | INFO | startup_event:1892 | ✓ Redis connected: N/A
2025-11-05 11:57:50 | api | INFO | startup_event:1894 | ✓ Redis Version: 6.2.6
2025-11-05 11:57:50 | api | INFO | startup_event:1895 | ✓ Redis Memory: 0.000B
2025-11-05 11:57:50 | api | INFO | startup_event:1896 | ✓ Total Cached Keys: 0
2025-11-05 11:57:50 | api | INFO | startup_event:1904 | Preloading ML models...
2025-11-05 11:57:50 | preprocessing.code_mixing_detection | INFO | detect_code_mixing:79 | [Code-Mixing FIX #9] Configuration - Text: short (4 chars, 1 words), Adaptive threshold: 0.120, Min markers: 2, Aggressive threshold: 0.150
2025-11-05 11:57:50 | preprocessing.code_mixing_detection | INFO | detect_code_mixing:323 | [Code-Mixing FIX #9] ❌ FINAL DECISION: Not code-mixed, Text='test'
2025-11-05 11:57:50 | preprocessing.romanized_detection | INFO | _ensure_transliterate_initialized:46 | Initialized indic_nlp transliteration with resources at: D:\NMITD-College\Research-Project\NLP-project\indic_nlp_resources
2025-11-05 11:57:56 | glotlid_wrapper | INFO | __init__:30 | ✅ GLotLID model loaded from: D:\NMITD-College\Research-Project\NLP-project\cis-lmuglotlid\model.bin
